Product_Collection,Lithography,nb_of_Cores,Processor_Base_Frequency,TDP
Legacy Intel® Core™ Processors,45 nm,2,2.80 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.93 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,3.06 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,1.20 GHz,10 W
Legacy Intel® Core™ Processors,45 nm,2,1.40 GHz,10 W
Legacy Intel® Core™ Processors,45 nm,2,1.60 GHz,10 W
Legacy Intel® Core™ Processors,45 nm,2,2.26 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.40 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.53 GHz,25 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.50 GHz,54 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.00 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.60 GHz,54 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.10 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.70 GHz,54 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.20 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.00 GHz,28 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.00 GHz,15 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.80 GHz,25 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.60 GHz,37 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.60 GHz,37 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.60 GHz,25 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.50 GHz,37 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.80 GHz,15 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.40 GHz,37 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.30 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.80 GHz,54 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.20 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.70 GHz,54 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.10 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.60 GHz,54 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.60 GHz,54 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.40 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.60 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.00 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,1.80 GHz,17 W
Legacy Intel® Core™ Processors,45 nm,2,1.86 GHz,17 W
Legacy Intel® Core™ Processors,45 nm,2,2.13 GHz,17 W
Legacy Intel® Core™ Processors,45 nm,2,1.60 GHz,17 W
Legacy Intel® Core™ Processors,45 nm,2,2.00 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.00 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.13 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.26 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.26 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.26 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.40 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.53 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.66 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.53 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.66 GHz,25 W
Legacy Intel® Core™ Processors,45 nm,2,2.80 GHz,28 W
Legacy Intel® Core™ Processors,65 nm,2,1.83 GHz,15 W
Legacy Intel® Core™ Processors,65 nm,2,1.50 GHz,15 W
Legacy Intel® Core™ Processors,65 nm,2,1.66 GHz,15 W
Legacy Intel® Core™ Processors,65 nm,2,1.33 GHz,17 W
Legacy Intel® Core™ Processors,65 nm,2,1.40 GHz,17 W
Legacy Intel® Core™ Processors,65 nm,2,1.50 GHz,17 W
Legacy Intel® Core™ Processors,65 nm,2,1.60 GHz,17 W
Legacy Intel® Core™ Processors,65 nm,2,1.80 GHz,17 W
Legacy Intel® Core™ Processors,65 nm,2,1.80 GHz,65 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.50 GHz,54 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.20 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.40 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.60 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,1.86 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.13 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,1.86 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.13 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.33 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.33 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.40 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.66 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,2.66 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,2,3.00 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,2.53 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,2.66 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,2.80 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,2.93 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,3.06 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,2.66 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,2.66 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,2.83 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,3.00 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,3.16 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,2,3.33 GHz,65 W
Legacy Intel® Core™ Processors,65 nm,4,2.40 GHz,105 W
Legacy Intel® Core™ Processors,65 nm,4,2.66 GHz,105 W
Legacy Intel® Core™ Processors,45 nm,4,2.33 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.33 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,4,2.50 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,4,2.00 GHz,45 W
Legacy Intel® Core™ Processors,45 nm,4,2.26 GHz,45 W
Legacy Intel® Core™ Processors,45 nm,4,2.50 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.83 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.83 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.83 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,4,2.83 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.83 GHz,65 W
Legacy Intel® Core™ Processors,45 nm,4,3.00 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,2,2.13 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.13 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.20 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.26 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.53 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.33 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.93 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,3.06 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,3.20 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,2.26 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.20 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.53 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.33 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.07 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.53 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.20 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.66 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.33 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.66 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,3.20 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,3.20 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,3.33 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,3.33 GHz,87 W
Legacy Intel® Core™ Processors,32 nm,2,3.46 GHz,73 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.40 GHz,82 W
Legacy Intel® Core™ Processors,45 nm,4,2.80 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,2,2.00 GHz,25 W
Legacy Intel® Core™ Processors,32 nm,2,2.00 GHz,25 W
Legacy Intel® Core™ Processors,32 nm,2,2.66 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.06 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,1.06 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.13 GHz,25 W
Legacy Intel® Core™ Processors,32 nm,2,2.80 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.20 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,2.26 GHz,25 W
Legacy Intel® Core™ Processors,32 nm,2,1.33 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,1.33 GHz,18 W
Legacy Intel® Core™ Processors,32 nm,2,1.46 GHz,18 W
Legacy Intel® Core™ Processors,45 nm,4,1.73 GHz,45 W
Legacy Intel® Core™ Processors,45 nm,4,1.86 GHz,45 W
Legacy Intel® Core™ Processors,45 nm,4,2.53 GHz,82 W
Legacy Intel® Core™ Processors,45 nm,4,2.93 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,82 W
Legacy Intel® Core™ Processors,45 nm,4,2.93 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,3.06 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.80 GHz,130 W
Legacy Intel® Core™ Processors,45 nm,4,2.93 GHz,130 W
Legacy Intel® Core™ Processors,45 nm,4,3.06 GHz,130 W
Legacy Intel® Core™ Processors,45 nm,4,3.20 GHz,130 W
Legacy Intel® Core™ Processors,32 nm,6,3.20 GHz,130 W
Legacy Intel® Core™ Processors,32 nm,6,3.33 GHz,130 W
Legacy Intel® Core™ Processors,32 nm,2,3.33 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,2.66 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.66 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,3.60 GHz,73 W
Legacy Intel® Core™ Processors,32 nm,2,2.53 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,4,1.60 GHz,45 W
Legacy Intel® Core™ Processors,45 nm,4,1.73 GHz,45 W
Legacy Intel® Core™ Processors,45 nm,4,2.80 GHz,95 W
Legacy Intel® Core™ Processors,45 nm,4,2.66 GHz,130 W
Legacy Intel® Core™ Processors,32 nm,2,3.10 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,3.10 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,3.10 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,3.30 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,3.30 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,3.40 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,2.10 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.10 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.10 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.20 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.20 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.20 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.30 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,2.30 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.30 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.30 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,1.40 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,1.40 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.50 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,1.50 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,4,2.80 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,2.90 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,3.00 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,3.10 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,2,2.70 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,4,3.10 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,2.50 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,4,2.50 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,2.30 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,4,3.20 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,2,1.60 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,4,3.30 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,3.30 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,2.70 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,4,2.30 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,1.40 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,4,3.40 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,3.40 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,2,1.70 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,4,3.40 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,2.80 GHz,65 W
Legacy Intel® Core™ Processors,32 nm,2,1.50 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,1.50 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,2.70 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,4,2.00 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,2,2.10 GHz,25 W
Legacy Intel® Core™ Processors,32 nm,4,2.00 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,2,1.70 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,2,2.80 GHz,35 W
Legacy Intel® Core™ Processors,32 nm,2,2.30 GHz,25 W
Legacy Intel® Core™ Processors,32 nm,2,2.20 GHz,25 W
Legacy Intel® Core™ Processors,32 nm,2,1.60 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,4,2.20 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,4,2.20 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,2,1.80 GHz,17 W
Legacy Intel® Core™ Processors,32 nm,4,3.50 GHz,95 W
Legacy Intel® Core™ Processors,32 nm,4,2.10 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,4,2.10 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,4,2.20 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,4,2.40 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,4,2.50 GHz,45 W
Legacy Intel® Core™ Processors,32 nm,4,2.30 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,2.50 GHz,25 W
Legacy Intel® Core™ Processors,22 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,3.20 GHz,55 W
Legacy Intel® Core™ Processors,22 nm,2,1.80 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,1.60 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,3.30 GHz,55 W
Legacy Intel® Core™ Processors,22 nm,2,2.80 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,3.30 GHz,55 W
Legacy Intel® Core™ Processors,22 nm,2,1.90 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,3.40 GHz,55 W
Legacy Intel® Core™ Processors,22 nm,2,1.40 GHz,13 W
Legacy Intel® Core™ Processors,22 nm,2,3.40 GHz,55 W
Legacy Intel® Core™ Processors,22 nm,2,2.90 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,3.50 GHz,55 W
Legacy Intel® Core™ Processors,22 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,3.00 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,1.70 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,3.00 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,2.70 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,2,1.80 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,1.50 GHz,13 W
Legacy Intel® Core™ Processors,22 nm,4,3.10 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,2.80 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,2,2.70 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,3.10 GHz,69 W
Legacy Intel® Core™ Processors,22 nm,2,2.80 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,1.80 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,2.90 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,1.90 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,1.50 GHz,13 W
Legacy Intel® Core™ Processors,22 nm,4,3.10 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,2.80 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,4,3.20 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,2.90 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,2,2.90 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,2.90 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,4,3.30 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,3.00 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,4,3.40 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,3.40 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,2.30 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,3.10 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,2,2.70 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,1.90 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,2.90 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,1.70 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,2.00 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,3.00 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,2,2.50 GHz,25 W
Legacy Intel® Core™ Processors,22 nm,4,2.30 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,2.30 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,2.10 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,2.10 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,2.10 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,2.30 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,2.30 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,2.40 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,2.20 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,2.20 GHz,35 W
Legacy Intel® Core™ Processors,22 nm,4,2.40 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,2,2.00 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,2.10 GHz,17 W
Legacy Intel® Core™ Processors,22 nm,2,1.50 GHz,13 W
Legacy Intel® Core™ Processors,22 nm,4,2.60 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,3.40 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,2.70 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,3.50 GHz,77 W
Legacy Intel® Core™ Processors,22 nm,4,3.10 GHz,65 W
Legacy Intel® Core™ Processors,22 nm,4,2.50 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,2.70 GHz,45 W
Legacy Intel® Core™ Processors,22 nm,4,2.80 GHz,45 W
Legacy Intel® Core™ Processors,65 nm,4,2.66 GHz,130 W
Legacy Intel® Core™ Processors,65 nm,4,2.93 GHz,130 W
Legacy Intel® Core™ Processors,65 nm,4,3.00 GHz,130 W
Legacy Intel® Core™ Processors,45 nm,4,2.53 GHz,45 W
Legacy Intel® Core™ Processors,45 nm,4,3.00 GHz,130 W
Legacy Intel® Core™ Processors,45 nm,4,3.20 GHz,136 W
Legacy Intel® Core™ Processors,45 nm,4,3.20 GHz,150 W
Legacy Intel® Core™ Processors,65 nm,2,2.93 GHz,75 W
Legacy Intel® Core™ Processors,65 nm,2,2.60 GHz,44 W
Legacy Intel® Core™ Processors,65 nm,2,2.80 GHz,44 W
Legacy Intel® Core™ Processors,45 nm,2,2.80 GHz,44 W
Legacy Intel® Core™ Processors,45 nm,2,3.06 GHz,44 W
Legacy Intel® Core™ Processors,45 nm,4,2.00 GHz,55 W
Legacy Intel® Core™ Processors,45 nm,4,2.13 GHz,55 W
Legacy Intel® Core™ Processors,45 nm,4,3.20 GHz,130 W
Legacy Intel® Core™ Processors,45 nm,4,3.33 GHz,130 W
Legacy Intel® Core™ Processors,32 nm,6,3.33 GHz,130 W
Legacy Intel® Core™ Processors,32 nm,6,3.46 GHz,130 W
Legacy Intel® Core™ Processors,32 nm,4,2.50 GHz,55 W
Intel® Pentium® Processor D Series,14 nm,2,2.20 GHz,25 W
Intel® Pentium® Processor D Series,14 nm,2,1.50 GHz,19 W
Intel® Pentium® Processor D Series,14 nm,4,1.60 GHz,25 W
Intel® Pentium® Processor D Series,14 nm,4,1.50 GHz,25 W
Intel® Pentium® Processor G Series,22 nm,2,2.90 GHz,55 W
Intel® Pentium® Processor G Series,22 nm,2,3.00 GHz,55 W
Intel® Pentium® Processor G Series,22 nm,2,2.50 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,2.60 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,2.60 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.10 GHz,55 W
Intel® Pentium® Processor G Series,22 nm,2,2.70 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.20 GHz,55 W
Intel® Pentium® Processor G Series,22 nm,2,3.30 GHz,55 W
Intel® Pentium® Processor G Series,14 nm,2,2.40 GHz,35 W
Intel® Pentium® Processor G Series,14 nm,2,2.90 GHz,35 W
Intel® Pentium® Processor G Series,14 nm,2,3.30 GHz,54 W
Intel® Pentium® Processor G Series,14 nm,2,3.50 GHz,54 W
Intel® Pentium® Processor G Series,14 nm,2,3.60 GHz,51 W
Intel® Pentium® Processor G Series,14 nm,2,3.50 GHz,51 W
Intel® Pentium® Processor G Series,14 nm,2,3.00 GHz,35 W
Intel® Pentium® Processor G Series,14 nm,2,2.90 GHz,35 W
Intel® Pentium® Processor G Series,14 nm,2,3.70 GHz,51 W
Intel® Pentium® Processor G Series,14 nm,2,3.60 GHz,51 W
Intel® Pentium® Processor G Series,14 nm,2,3.00 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.00 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,3.10 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,2.60 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,2.70 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.20 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,3.20 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,3.30 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,2.80 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,2.90 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,2.30 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.20 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,2.70 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.30 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,3.30 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,2.80 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.40 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,2.90 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.50 GHz,53 W
Intel® Pentium® Processor G Series,22 nm,2,3.00 GHz,35 W
Intel® Pentium® Processor G Series,22 nm,2,3.60 GHz,53 W
Intel® Celeron® Processor 2000 Series,22 nm,2,1.50 GHz,25 W
Intel® Celeron® Processor 2000 Series,22 nm,2,2.00 GHz,37 W
Intel® Celeron® Processor 2000 Series,22 nm,2,1.40 GHz,15 W
Intel® Celeron® Processor 2000 Series,22 nm,2,1.40 GHz,15 W
Intel® Celeron® Processor 2000 Series,22 nm,2,2.20 GHz,37 W
Intel® Celeron® Processor 2000 Series,22 nm,2,1.10 GHz,11.5 W
Intel® Celeron® Processor 2000 Series,22 nm,2,1.60 GHz,15 W
Intel® Celeron® Processor 2000 Series,22 nm,2,1.60 GHz,15 W
Intel® Celeron® Processor 1000 Series,22 nm,2,1.90 GHz,35 W
Intel® Celeron® Processor 1000 Series,22 nm,2,1.50 GHz,17 W
Intel® Celeron® Processor 1000 Series,22 nm,2,1.60 GHz,17 W
Intel® Celeron® Processor 1000 Series,22 nm,2,1.00 GHz,10 W
